"","Degree","Closeness","Betweennes","Eigen.vector","SS","Program"
"acknowledge",2,0.00125786163522013,0.00311240417438399,8.74807346876041e-05,"acknowledge","Bachelor"
"analyze",849,0.00158982511923688,237.97784876611,0.211297184486071,"analyze","Bachelor"
"appreciate",175,0.00140646976090014,17.906127004158,0.0276940928770434,"appreciate","Bachelor"
"argue",7,0.00129366106080207,0.000989277501525289,0.00152625456945806,"argue","Bachelor"
"bridge",110,0.0013986013986014,11.8109791970133,0.038660710494758,"bridge","Bachelor"
"change",473,0.00171526586620926,336.142915372949,0.0799179761773851,"change","Bachelor"
"commit",63,0.00146842878120411,10.5239486650036,0.00806252374220234,"commit","Bachelor"
"communica*",2701,0.00233100233100233,7014.09196786843,0.614130739726777,"communica*","Bachelor"
"compete",7,0.00129366106080207,0.0329219426760765,0.000435316659878264,"compete","Bachelor"
"conflict",109,0.00139470013947001,4.83188889509149,0.0231734119583302,"conflict","Bachelor"
"control",2913,0.0016366612111293,1839.75062190243,0.87255398300958,"control","Bachelor"
"convinc*",7,0.00129366106080207,0.0665329360110193,0.000825915047573472,"convinc*","Bachelor"
"cooperat*",76,0.0013986013986014,274.749795677291,0.0125323858134971,"cooperat*","Bachelor"
"creat*",1595,0.00202839756592292,3317.77384634949,0.354119945176911,"creat*","Bachelor"
"critical thinking",58,0.00142247510668563,23.0350315789129,0.00590955781664128,"critical thinking","Bachelor"
"deci*",963,0.00166944908180301,430.284938835768,0.192961711367435,"deci*","Bachelor"
"empathy",15,0.00132802124833997,0.682643863431202,0.00146446851795039,"empathy","Bachelor"
"ethics",541,0.00178890876565295,669.279319296937,0.0743378678885342,"ethics","Bachelor"
"evaluat*",2186,0.0016750418760469,1263.87296944071,0.504137300990531,"evaluat*","Bachelor"
"flexibility",39,0.0013986013986014,29.0833843959812,0.00538738561415172,"flexibility","Bachelor"
"generate",139,0.00143884892086331,8.51931741005796,0.0338407247882687,"generate","Bachelor"
"guide",304,0.0014903129657228,28.1914244240382,0.0707876521662009,"guide","Bachelor"
"identify",746,0.0016366612111293,216.90957403164,0.18744819720935,"identify","Bachelor"
"innovat*",391,0.00177619893428064,1463.76468583539,0.0498009964404415,"innovat*","Bachelor"
"inspir*",45,0.00136798905608755,4.50903223766443,0.00491821631339056,"inspir*","Bachelor"
"interact",33,0.00135685210312076,7.46649706304593,0.00556312246220574,"interact","Bachelor"
"lead*",668,0.00200400801603206,1786.14412345295,0.0995195119868511,"lead*","Bachelor"
"manage*",4479,0.00248138957816377,13966.5484988993,1,"manage*","Bachelor"
